"journal_name","impact_factor","ranking"
"International Journal of Health Care Finance and Economics","","VHB"
"International Journal of Health Planning and Management","","VHB"
"International Journal of Healthcare Management","D","VHB"
"International Journal of Human Resource Management","B","VHB"
"International Journal of Human Resources: Development and Management","","VHB"
"International Journal of Industrial Organization","B","VHB"
"International Journal of Information Management","C","VHB"
"International Journal of Information System Modeling and Design","","VHB"
"International Journal of Information Technologies and Systems Approach","","VHB"
"International Journal of Information Technology & Decision Making","C","VHB"
"International Journal of Innovation and Sustainable Development","C","VHB"
"International Journal of Innovation and Technology Management","C","VHB"
"International Journal of Innovation Management","B","VHB"
"International Journal of Integrated Supply Management","C","VHB"
"International Journal of Internet Marketing and Advertising","","VHB"
"International Journal of Knowledge Management","C","VHB"
"International Journal of Knowledge Management Studies","C","VHB"
"International Journal of Learning and Change","","VHB"
"International Journal of Logistics Management","C","VHB"
"International Journal of Logistics: Research and Applications","C","VHB"
"International Journal of Management and Enterprise Development","","VHB"
"International Journal of Management Practice","C","VHB"
"International Journal of Management Reviews IJMR","B","VHB"
"International Journal of Managerial and Financial Accounting","C","VHB"
"International Journal of Manpower","","VHB"
"International Journal of Market Research","D","VHB"
"International Journal of Microsimulation","","VHB"
"International Journal of Mobile Communications","C","VHB"
"International Journal of Networking and Virtual Organisations","","VHB"
"International Journal of Nonprofit and Voluntary Sector Marketing","C","VHB"
"International Journal of Operations & Production Management","B","VHB"
"International Journal of Operations and Quantitative Management","","VHB"
"International Journal of Operational Research","C","VHB"
"International Journal of Physical Distribution & Logistics Management","B","VHB"
"International Journal of Product Development","C","VHB"
"International Journal of Product Lifecycle Management","C","VHB"
"International Journal of Production Economics","B","VHB"
"International Journal of Production Research","B","VHB"
"International Journal of Productivity and Performance Management","C","VHB"
"International Journal of Project Management","C","VHB"
"International Journal of Project Organization and Management Science","","VHB"
"International Journal of Public Administration","C","VHB"
"International Journal of Public Sector Management","C","VHB"
"International Journal of Public Sector Performance Management","C","VHB"
"International Journal of Research in Marketing","A","VHB"
"International Journal of Retail & Distribution Management","C","VHB"
"International Journal of Revenue Management","C","VHB"
"International Journal of Service Science, Management, Engineering, and Technology","D","VHB"
"International Journal of Services and Operations Management","","VHB"
"International Journal of Services Technology and Management","","VHB"
"International Journal of Sports Marketing & Sponsorship","D","VHB"
"International Journal of Strategic Management","C","VHB"
"International Journal of Sustainable Strategic Management","C","VHB"
"International Journal of Technology Assessment in Health Care","B","VHB"
"International Journal of Technology Intelligence and Planning","","VHB"
"International Journal of Technology Management","C","VHB"
"International Journal of Technology Marketing","","VHB"
"International Journal of the Economics of Business","C","VHB"
"International Journal of Theoretical and Applied Finance","B","VHB"
"International Journal on Media Management","C","VHB"
"International Marketing Review","B","VHB"
"International Public Management Journal","B","VHB"
"International Public Management Review","C","VHB"
"International Review of Administrative Sciences","C","VHB"
"International Review of Law and Economics","B","VHB"
"International Review of Retail, Distribution and Consumer Research","C","VHB"
"International Review on Public and Nonprofit Marketing","C","VHB"
"International Small Business Journal","C","VHB"
