"citation_key","inclusion_1","inclusion_2","ec_org_level","comment"
"Eden2019","yes","TODO","TODO","-"
"Edith2002","no","NA","NA","-"
"Editors2016","no","NA","NA","-"
"Eggert2013","no","NA","NA","-"
"Einrem2016","no","NA","NA","-"
"Ejnefjll2019","yes","TODO","TODO","-"
"El2009","no","NA","NA","-"
"Elankumaran2013","no","NA","NA","-"
"Elbanna2014","no","NA","NA","-"
"Elbanna2015","no","NA","NA","-"
"Elbardan2012","no","NA","NA","-"
"Elmekawy2013","no","NA","NA","-"
"Engelbrecht2017","yes","TODO","TODO","-"
"Engquist2019","no","NA","NA","-"
"Erickson2007","no","NA","NA","-"
"Ernst2017","no","NA","NA","-"
"Ervin2007","no","NA","NA","-"
"Eshraghian2015","no","NA","NA","-"
"Esteves2001","yes","TODO","TODO","-"
"Esteves2007","yes","TODO","TODO","-"
"Etzion2014","no","NA","NA","-"
"Eun2020","no","NA","NA","-"
"Evermann2009","no","NA","NA","-"
"Evermann2011","no","NA","NA","-"
"Eymann2014","no","NA","NA","-"
"Fagnot2019","no","NA","NA","-"
"Fahrni2012","no","NA","NA","-"
"Fan2018","no","NA","NA","-"
"Fan2019","no","NA","NA","-"
"Fan2020","no","NA","NA","-"
"Fan2021","no","NA","NA","-"
"Farnsworth2016","no","NA","NA","-"
"Feig2013","no","NA","NA","-"
"Feine2019","no","NA","NA","-"
"Feldman2014","no","NA","NA","-"
"Felici2019","no","NA","NA","-"
"Felstead2015","no","NA","NA","-"
"Feng2018","no","NA","NA","-"
"Ferguson2016","no","NA","NA","-"
"Fernandes2019","no","NA","NA","-"
"Fernndezdelgado2016","no","NA","NA","-"
"Ferrando2010","no","NA","NA","-"
"Ferrando2016","no","NA","NA","-"
"Ferraris2007","no","NA","NA","-"
"Ferratt1986","no","NA","NA","-"
"Festa2011","no","NA","NA","-"
"Firth2014","no","NA","NA","-"
"Fischer2015","no","NA","NA","-"
"Fischer2017","yes","TODO","TODO","-"
"Fitzgerald2006","yes","TODO","TODO","-"
"Fleming2011","no","NA","NA","-"
"Fogarty2003","no","NA","NA","-"
"Follmer2018","no","NA","NA","-"
"Ford2012","no","NA","NA","-"
"Ford2012a","no","NA","NA","-"
"Freeman2005","no","NA","NA","-"
"Frick2009","no","NA","NA","-"
"Frick2009a","no","NA","NA","-"
"Fries2016","yes","TODO","TODO","-"
"Fry1983","no","NA","NA","-"
"Frygell2017","no","NA","NA","-"
"Fujii2016","no","NA","NA","-"
"Gagnon2009","no","NA","NA","-"
"Gallagher2012","yes","TODO","TODO","-"
"Gallagher2017","no","NA","NA","-"
"Gani2012","no","NA","NA","-"
"Garfield2016","no","NA","NA","-"
"Garlandthomson2011","no","NA","NA","-"
"Gasparas2010","no","NA","NA","-"
"Gattiker2002","no","NA","NA","-"
"Gattiker2005","yes","TODO","TODO","-"
"Gebauer2005","no","NA","NA","-"
"Gelfand2019","no","NA","NA","-"
"Gerber1994","no","NA","NA","-"
"Ghabri2018","no","NA","NA","-"
"Ghawe2016","no","NA","NA","-"
"Ghosal2019","no","NA","NA","-"
"Ghosh2013","no","NA","NA","-"
"Ghosh2013a","no","NA","NA","-"
"Gmezherrero2021","no","NA","NA","-"
"Goedeke2017","no","NA","NA","-"
"Goldberg2016","no","NA","NA","-"
"Goldberg2017","no","NA","NA","-"
"Gomezbaggethun2013","no","NA","NA","-"
"Gonzlezmaas2018","no","NA","NA","-"
"Goodhue2005","no","NA","NA","-"
"Gopal2020","no","NA","NA","-"
"Gopaul2016","no","NA","NA","-"
"Gosain2004","no","NA","NA","-"
"Grabis2019","yes","TODO","TODO","-"
"Grainger2007","no","NA","NA","-"
"Grandn2006","no","NA","NA","-"
"Grason2017","no","NA","NA","-"
"Graupner2015","no","NA","NA","-"
"Graverend2018","no","NA","NA","-"
"Grebille2004","no","NA","NA","-"
"Grebille2007","no","NA","NA","-"
"Greene2007","no","NA","NA","-"
"Gregor2013","no","NA","NA","-"
"Gresov1989","no","NA","NA","-"
"Gresov1989a","yes","TODO","TODO","-"
"Griffiths2007","no","NA","NA","-"
"Grimley2016","no","NA","NA","-"
"Groenendaa2008","no","NA","NA","-"
"Gross2016","no","NA","NA","-"
"Gu2017","no","NA","NA","-"
"Guivarch2014","no","NA","NA","-"
"Gundlach2020","no","NA","NA","-"
"Guo2012","no","NA","NA","-"
"Guo2014","no","NA","NA","-"
"Guo2016","no","NA","NA","-"
"Guo2019","no","NA","NA","-"
"Guo2021","no","NA","NA","-"
"Gustav2016","no","NA","NA","-"
"Haag2015","no","NA","NA","-"
"Haake2018","no","NA","NA","-"
"Habermann2017","no","NA","NA","-"
"Haddara2018","no","NA","NA","-"
"Haddara2020","no","NA","NA","-"
"Hafer1981","no","NA","NA","-"
"Haghi2017","no","NA","NA","-"
"Hailemariam2016","no","NA","NA","-"
"Haines1994","no","NA","NA","-"
"Haines1994a","no","NA","NA","-"
"Haines2009","yes","TODO","TODO","-"
"Haki2013","no","NA","NA","-"
"Haller1994","no","NA","NA","-"
"Haller1994a","no","NA","NA","-"
"Haller2013","no","NA","NA","-"
"Hamid2010","no","NA","NA","-"
